,Date,Ticker,Dividend,Stock Price,Dividend Yield (%)
9585,2015-03-27 00:00:00-04:00,EDD,0.22,,
9586,2015-03-27 00:00:00-04:00,PSEC,0.083,,
9587,2015-03-27 00:00:00-04:00,ACRE,0.25,,
9588,2015-03-27 00:00:00-04:00,BGS,0.34,,
9589,2015-03-27 00:00:00-04:00,RFIL,0.07,,
9590,2015-03-27 00:00:00-04:00,RC,0.4,,
9591,2015-03-30 00:00:00-04:00,MHLD,0.13,,
9592,2015-03-30 00:00:00-04:00,CULP,0.06,,
9593,2015-03-31 00:00:00-04:00,AVD,0.02,,
9594,2015-03-31 00:00:00-04:00,SUP,0.18,,
9595,2015-03-31 00:00:00-04:00,CIO,0.235,,
9596,2015-04-01 00:00:00-04:00,NXDT,18.664,,
9597,2015-04-01 00:00:00-04:00,SSP,1.03,,
9598,2015-04-01 00:00:00-04:00,BDN,0.15,,
9599,2015-04-01 00:00:00-04:00,TSI,0.06,,
9600,2015-04-02 00:00:00-04:00,LYG,0.046,,
9601,2015-04-02 00:00:00-04:00,BBDO,0.005,,
9602,2015-04-02 00:00:00-04:00,BBD,0.004132,,
9603,2015-04-08 00:00:00-04:00,CIK,0.022,,
9604,2015-04-08 00:00:00-04:00,SSL,0.572,,
9605,2015-04-08 00:00:00-04:00,DHF,0.029,,
9606,2015-04-09 00:00:00-04:00,AIRI,1.5,,
9607,2015-04-09 00:00:00-04:00,GORO,0.01,,
9608,2015-04-09 00:00:00-04:00,VVR,0.028,,
9609,2015-04-09 00:00:00-04:00,GROW,0.005,,
9610,2015-04-09 00:00:00-04:00,PHK,0.122,,
9611,2015-04-09 00:00:00-04:00,AAME,0.02,,
9612,2015-04-10 00:00:00-04:00,BAK,0.377,,
9613,2015-04-13 00:00:00-04:00,LFT,0.125,,
9614,2015-04-13 00:00:00-04:00,AP,0.18,,
9615,2015-04-14 00:00:00-04:00,CXE,0.026,,
9616,2015-04-14 00:00:00-04:00,MIN,0.038,,
9617,2015-04-14 00:00:00-04:00,CMU,0.023,,
9618,2015-04-14 00:00:00-04:00,GGN,0.07,,
9619,2015-04-14 00:00:00-04:00,BPT,0.999,,
9620,2015-04-14 00:00:00-04:00,MMT,0.032,,
9621,2015-04-14 00:00:00-04:00,CIF,0.017,,
9622,2015-04-14 00:00:00-04:00,MGF,0.036,,
9623,2015-04-15 00:00:00-04:00,CYCCP,0.15,,
9624,2015-04-15 00:00:00-04:00,DHY,0.024,,
9625,2015-04-15 00:00:00-04:00,HIX,0.069,,
9626,2015-04-15 00:00:00-04:00,HIO,0.036,,
9627,2015-04-16 00:00:00-04:00,TEF,0.159,,
9628,2015-04-16 00:00:00-04:00,EDF,0.18,,
9629,2015-04-20 00:00:00-04:00,CMTL,0.3,,
9630,2015-04-21 00:00:00-04:00,AWP,0.05,,
9631,2015-04-21 00:00:00-04:00,NXDT,0.24,,
9632,2015-04-22 00:00:00-04:00,FSP,0.19,,
9633,2015-04-22 00:00:00-04:00,PPT,0.026,,
9634,2015-04-22 00:00:00-04:00,SVC,0.496524,,
9635,2015-04-22 00:00:00-04:00,PIM,0.026,,
9636,2015-04-24 00:00:00-04:00,OCC,0.02,,
9637,2015-04-28 00:00:00-04:00,VOC,0.16,,
9638,2015-04-28 00:00:00-04:00,PVL,0.018,,
9639,2015-04-28 00:00:00-04:00,WHLR,124416.0,,
9640,2015-04-28 00:00:00-04:00,AVAL,0.038,,
9641,2015-04-28 00:00:00-04:00,PSEC,0.083,,
9642,2015-04-28 00:00:00-04:00,KFFB,0.1,,
9643,2015-04-28 00:00:00-04:00,BTE,0.083,,
9644,2015-04-29 00:00:00-04:00,LCUT,0.038,,
9645,2015-04-30 00:00:00-04:00,CLRO,0.035,,
9646,2015-04-30 00:00:00-04:00,ASRV,0.01,,
9647,2015-04-30 00:00:00-04:00,ACTG,0.125,,
9648,2015-05-01 00:00:00-04:00,DLNG,0.422,,
9649,2015-05-01 00:00:00-04:00,NGL,0.625,,
9650,2015-05-04 00:00:00-04:00,CIG,0.116923,,
9651,2015-05-05 00:00:00-04:00,BBD,0.004132,,
9652,2015-05-05 00:00:00-04:00,MCHX,0.02,,
9653,2015-05-05 00:00:00-04:00,NAT,0.376984,,
9654,2015-05-06 00:00:00-04:00,MMLP,0.813,,
9655,2015-05-07 00:00:00-04:00,CIK,0.022,,
9656,2015-05-07 00:00:00-04:00,PHK,0.122,,
9657,2015-05-07 00:00:00-04:00,RES,0.05,,
9658,2015-05-07 00:00:00-04:00,BGSF,0.25,,
9659,2015-05-07 00:00:00-04:00,TEF,0.446,,
9660,2015-05-07 00:00:00-04:00,GORO,0.01,,
9661,2015-05-07 00:00:00-04:00,GROW,0.005,,
9662,2015-05-08 00:00:00-04:00,DHF,0.029,,
9663,2015-05-11 00:00:00-04:00,VVR,0.028,,
9664,2015-05-11 00:00:00-04:00,GCI,0.33,,
9665,2015-05-11 00:00:00-04:00,STRR,2.5,,
9666,2015-05-12 00:00:00-04:00,MIN,0.038,,
9667,2015-05-12 00:00:00-04:00,CMU,0.023,,
9668,2015-05-12 00:00:00-04:00,MMT,0.048,,
9669,2015-05-12 00:00:00-04:00,GGN,0.07,,
9670,2015-05-12 00:00:00-04:00,MGF,0.036,,
9671,2015-05-12 00:00:00-04:00,CIF,0.024,,
9672,2015-05-12 00:00:00-04:00,CXE,0.026,,
9673,2015-05-13 00:00:00-04:00,NRT,0.33,,
9674,2015-05-13 00:00:00-04:00,RPT,0.18,,
9675,2015-05-13 00:00:00-04:00,INN,0.117,,
9676,2015-05-13 00:00:00-04:00,EDF,0.18,,
9677,2015-05-13 00:00:00-04:00,LFT,0.125,,
9678,2015-05-13 00:00:00-04:00,PETS,0.18,,
9679,2015-05-14 00:00:00-04:00,SIFY,0.096,,
9680,2015-05-14 00:00:00-04:00,DHY,0.024,,
9681,2015-05-15 00:00:00-04:00,NHTC,0.03,,
9682,2015-05-18 00:00:00-04:00,TACT,0.08,,
9683,2015-05-19 00:00:00-04:00,AWP,0.05,,
9684,2015-05-20 00:00:00-04:00,RILY,0.059406,,
9685,2015-05-20 00:00:00-04:00,HL,0.003,,
9686,2015-05-20 00:00:00-04:00,PIM,0.026,,
9687,2015-05-20 00:00:00-04:00,HIX,0.069,,
9688,2015-05-20 00:00:00-04:00,NXDT,0.24,,
9689,2015-05-20 00:00:00-04:00,HIO,0.036,,
9690,2015-05-20 00:00:00-04:00,PPT,0.026,,
9691,2015-05-21 00:00:00-04:00,FGB,0.173,,
9692,2015-05-21 00:00:00-04:00,GGB,0.015873,,
9693,2015-05-21 00:00:00-04:00,PSHG,2222.64,,
9694,2015-05-22 00:00:00-04:00,PHX,0.04,,
9695,2015-05-27 00:00:00-04:00,AVAL,0.038,,
9696,2015-05-27 00:00:00-04:00,MARPS,0.145,,
