,Symbol,Security Name,Price
307,CGC,Canopy Growth Corporation - Common Shares,1.659999966621399
308,CGEN,Compugen Ltd. - Ordinary Shares,1.3899999856948853
309,CGTL,Creative Global Technology Holdings Limited - Class A Ordinary Shares,1.100000023841858
310,CGTX,"Cognition Therapeutics, Inc. - Common Stock",0.32499998807907104
311,CHARR,Charlton Aria Acquisition Corporation - Rights,0.1500999927520752
312,CHEK,Check-Cap Ltd. - Ordinary Share,0.925000011920929
313,CHNR,"China Natural Resources, Inc. - Common Shares",0.5600000023841858
314,CHR,"Cheer Holding, Inc.  - Class A Ordinary Share",1.5199999809265137
315,CHRS,"Coherus BioSciences, Inc. - Common Stock",0.7609999775886536
316,CHSN,Chanson International Holding - Class A Ordinary Shares,0.531000018119812
317,CIFR,Cipher Mining Inc. - Common Stock,3.859999895095825
318,CIFRW,Cipher Mining Inc. - Warrant,0.5889999866485596
319,CIIT,"Tianci International, Inc. - Common Stock",2.0799999237060547
320,CING,Cingulate Inc. - Common Stock,3.819999933242798
321,CINGW,Cingulate Inc. - Warrants,0.03880000114440918
322,CISO,"CISO Global, Inc. - Common Stock",1.2699999809265137
323,CISS,C3is Inc. - Common Stock,3.6500000953674316
324,CJET,"Chijet Motor Company, Inc. - Ordinary Shares",1.9900000095367432
325,CKPT,"Checkpoint Therapeutics, Inc. - Common Stock",4.150000095367432
326,CLAR,Clarus Corporation - Common Stock,3.2699999809265137
327,CLEU,China Liberal Education Holdings Limited - Ordinary Shares,1.3799999952316284
328,CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares,1.7300000190734863
329,CLIK,Click Holdings Limited - Ordinary Share,0.4790000021457672
330,CLIR,ClearSign Technologies Corporation - Common Stock,0.7400000095367432
331,CLLS,Cellectis S.A. - American Depositary Shares,1.5800000429153442
332,CLNE,Clean Energy Fuels Corp. - Common Stock,2.0199999809265137
333,CLNN,Clene Inc. - Common Stock,2.569999933242798
334,CLNNW,Clene Inc. - Warrant,0.0284000001847744
335,CLOV,"Clover Health Investments, Corp.  - Class A Common stock",3.549999952316284
336,CLPS,CLPS Incorporation - Common Stock,0.9599999785423279
337,CLRB,"Cellectar Biosciences, Inc. - Common Stock",0.25
338,CLRO,"ClearOne, Inc. - Common Stock",0.5199999809265137
339,CLSD,"Clearside Biomedical, Inc. - Common Stock",0.8790000081062317
340,CLSKW,"CleanSpark, Inc. - Warrant",0.2513999938964844
341,CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,1.159999966621399
342,CLYM,"Climb Bio, Inc. - Common Stock",1.2899999618530273
343,CMBM,Cambium Networks Corporation - Ordinary Shares,0.47099998593330383
344,CMMB,Chemomab Therapeutics Ltd.  - American Depositary Shares,1.3700000047683716
345,CMND,Clearmind Medicine Inc. - Common Shares,0.9900000095367432
346,CMPS,COMPASS Pathways Plc - American Depository Shares,3.9800000190734863
347,CMPX,"Compass Therapeutics, Inc. - Common Stock",2.0999999046325684
348,CMTL,Comtech Telecommunications Corp. - Common Stock,1.8200000524520874
349,CNCKW,Coincheck Group N.V. - Warrants,1.399999976158142
350,CNDT,Conduent Incorporated - Common Stock,2.25
351,CNET,ZW Data Action Technologies Inc. - Common Stock,1.5399999618530273
352,CNEY,CN Energy Group Inc. - Class A Ordinary Shares,2.922499895095825
353,CNFR,"Conifer Holdings, Inc. - Common Stock",0.8220000267028809
354,CNSP,"CNS Pharmaceuticals, Inc. - Common Stock",1.2799999713897705
355,CNTB,Connect Biopharma Holdings Limited - American Depositary Shares,0.7509999871253967
356,CNTX,Context Therapeutics Inc. - Common Stock,0.7120000123977661
357,CNTY,"Century Casinos, Inc. - Common Stock",1.8200000524520874
358,CNVS,Cineverse Corp. - Class A Common Stock,3.369999885559082
359,COCH,"Envoy Medical, Inc. - Class A Common Stock",1.6799999475479126
360,COCHW,"Envoy Medical, Inc. - Warrant",0.06589999794960022
361,COCP,"Cocrystal Pharma, Inc. - Common Stock",1.4199999570846558
362,CODX,"Co-Diagnostics, Inc. - Common Stock",0.30000001192092896
363,COEPW,"Coeptis Therapeutics Holdings, Inc. - Warrants",0.03180000185966492
364,COGT,"Cogent Biosciences, Inc. - Common Stock",4.880000114440918
365,COOT,Australian Oilseeds Holdings Limited - Ordinary Shares,0.7400000095367432
366,COSM,Cosmos Health Inc. - Common Stock,0.42899999022483826
367,CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,4.710000038146973
368,CPOP,"Pop Culture Group Co., Ltd - Class A Ordinary Shares",0.5759999752044678
369,CPSH,CPS Technologies Corp. - Common Stock,1.8799999952316284
370,CRBU,"Caribou Biosciences, Inc. - Common Stock",0.9380000233650208
371,CRDF,"Cardiff Oncology, Inc. - Common Stock",2.809999942779541
372,CRDL,Cardiol Therapeutics Inc. - Class A Common Shares,1.1100000143051147
373,CREG,Smart Powerr Corp. - Common Stock,0.7200000286102295
374,CRESW,Cresud S.A.C.I.F. y A. - Warrant,0.8999999761581421
375,CREV,Carbon Revolution Public Limited Company - Ordinary Shares,3.25
376,CREVW,Carbon Revolution Public Limited Company - Warrant,0.02370000071823597
377,CREX,"Creative Realities, Inc. - Common Stock",2.109999895095825
378,CRGO,Freightos Limited - Ordinary shares,2.2699999809265137
379,CRGX,"CARGO Therapeutics, Inc. - Common Stock",4.119999885559082
380,CRIS,"Curis, Inc. - Common Stock",2.0299999713897705
381,CRML,Critical Metals Corp. - Ordinary Shares,1.409999966621399
